sample_id,nearest_neighbor_rmsd_A,3.8A_hamiltonian_rmsd_A,fiedler_edgece_rmsd_A,fiedler_edgece_mse_rmsd_A,rmsd_decoder_permce_rmsd_A
0,2.417929172515869,9.999999747378752e-05,0.0037178455386310816,0.0037178455386310816,1.1419917345046997
1,9.999999747378752e-05,9.999999747378752e-05,0.0032967934384942055,0.0032967934384942055,2.3179092407226562
2,9.999999747378752e-05,9.999999747378752e-05,22.13343620300293,0.003258997807279229,3.2277801036834717
3,17.36506462097168,17.36506462097168,17.3648624420166,17.364957809448242,17.444854736328125
4,19.628772735595703,16.176233291625977,24.563779830932617,0.0036256995517760515,3.1034202575683594
5,5.266977310180664,4.338973522186279,26.420358657836914,18.007442474365234,17.32740020751953
6,9.999999747378752e-05,9.999999747378752e-05,15.993203163146973,14.711009979248047,15.221539497375488
7,13.630779266357422,9.999999747378752e-05,16.235374450683594,0.002865414833649993,9.197646141052246
8,23.292285919189453,22.141780853271484,19.14474868774414,18.27117347717285,20.808462142944336
9,9.999999747378752e-05,9.999999747378752e-05,0.0038056597113609314,0.0038056597113609314,2.5938315391540527
10,9.999999747378752e-05,9.999999747378752e-05,0.0034123335499316454,0.0034123335499316454,2.18803334236145
11,9.999999747378752e-05,9.999999747378752e-05,0.0034263823181390762,0.0034263823181390762,2.5022945404052734
12,9.999999747378752e-05,9.999999747378752e-05,0.0038544610142707825,0.0038544610142707825,2.584369421005249
13,9.999999747378752e-05,9.999999747378752e-05,0.0034763780422508717,0.0034763780422508717,2.8432652950286865
14,9.999999747378752e-05,4.308902263641357,16.831295013427734,0.0029295722488313913,0.9263364672660828
15,11.510622024536133,9.999999747378752e-05,0.0027054795064032078,0.002706092782318592,2.775322198867798
16,9.999999747378752e-05,9.999999747378752e-05,0.01877738907933235,0.003628002479672432,10.478168487548828
17,9.999999747378752e-05,0.8509775400161743,0.00418888172134757,0.004188871942460537,3.3841331005096436
18,9.999999747378752e-05,9.999999747378752e-05,0.004058139864355326,0.004057869780808687,4.46513557434082
19,9.999999747378752e-05,9.999999747378752e-05,0.003920251969248056,0.003920978866517544,5.966778755187988
20,9.999999747378752e-05,9.999999747378752e-05,0.003333328990265727,0.003333328990265727,7.010695934295654
21,9.999999747378752e-05,9.999999747378752e-05,0.0037380538415163755,0.0037380538415163755,2.402818441390991
